fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,wine_type,quality_score
6.2,0.647,0.0,3.27,0.1454,9.6,43.5,0.99779,3.46,0.55,12.3,white,8.5
5.37,0.483,0.36,0.7,0.1524,3.4,97.7,0.99561,3.17,0.68,10.4,white,8.8
5.23,0.605,0.11,1.14,0.0575,15.6,9.4,0.99693,3.3,0.39,9.6,white,8.5
4.76,0.407,0.38,0.28,0.021,10.7,47.9,0.99703,3.32,0.72,9.7,red,9.0
9.44,0.73,0.44,10.99,0.077,17.0,13.9,1.00037,3.41,0.38,9.6,red,7.3
9.24,0.73,0.46,0.22,0.0976,26.2,12.6,0.99764,3.36,0.88,13.6,red,8.6
10.35,0.552,0.24,0.46,0.0904,10.3,44.8,0.99682,3.36,0.38,9.4,red,8.4
6.5,0.572,0.19,1.63,0.013,19.6,29.2,0.99845,3.25,0.8,10.1,red,9.0
9.57,0.35,0.15,5.01,0.1591,13.2,114.9,0.99523,3.25,0.54,9.8,white,8.0
8.4,0.287,0.13,1.1,0.0004,40.6,38.2,0.9972,3.36,0.48,13.0,red,9.0
8.58,0.462,0.27,3.66,0.0518,26.1,83.8,0.99827,3.23,0.66,9.4,red,8.3
9.36,0.514,0.23,2.82,0.039,6.8,48.2,0.99818,3.19,0.71,8.6,white,7.4
7.01,0.721,0.11,2.54,0.0365,29.5,7.0,0.99594,3.5,0.68,10.8,white,7.6
12.7,0.696,0.05,4.66,0.0156,41.2,11.5,0.99773,3.21,0.72,10.4,red,8.8
10.56,0.563,0.25,0.04,0.0898,13.6,1.6,0.99836,3.24,0.78,11.0,red,8.9
7.4,0.744,0.19,6.62,0.1535,21.0,57.3,0.99519,3.49,0.32,13.3,red,9.0
6.45,0.36,0.05,4.42,0.0793,26.5,99.0,0.99579,3.21,0.68,8.5,red,7.3
8.15,0.724,0.43,6.95,0.0396,4.1,16.4,0.99636,3.36,0.43,8.6,white,5.8
8.61,0.388,0.61,3.94,0.1533,3.4,74.1,1.00166,3.37,0.44,10.1,red,8.9
10.11,0.753,0.45,5.27,0.1264,17.6,40.5,0.9955,3.3,0.47,14.2,red,9.0
6.31,0.528,0.13,0.57,0.0473,7.3,11.5,0.99765,3.25,0.32,9.5,red,6.7
8.79,0.17,0.26,0.96,0.1022,13.6,58.2,0.99629,3.14,0.66,14.9,red,9.0
5.7,0.661,0.56,0.95,0.1377,26.7,98.9,0.99512,3.4,0.36,13.6,red,9.0
9.04,0.676,0.05,0.29,0.0445,21.8,44.0,0.9984,3.48,0.73,11.4,red,9.0
8.12,0.448,0.42,3.27,0.0927,21.8,73.8,0.99418,3.46,0.92,13.3,red,9.0
11.59,0.463,0.01,0.37,0.0687,14.5,56.7,0.99989,3.37,0.93,11.8,white,9.0
5.67,0.501,0.59,0.13,0.031,9.1,56.7,0.99492,3.01,0.47,12.1,red,8.5
10.63,0.183,0.19,3.73,0.0948,8.5,20.1,0.99567,3.43,0.46,12.2,red,9.0
5.4,0.104,0.69,5.88,0.1073,34.2,62.6,0.99814,3.29,0.79,12.6,red,8.4
6.04,0.764,0.6,3.61,0.0891,39.6,1.6,0.99851,3.22,0.67,8.8,white,8.2
5.45,0.382,0.25,4.36,0.0486,27.2,58.4,0.99747,3.41,0.65,12.4,white,9.0
8.73,0.864,0.13,2.26,0.1857,13.0,91.7,0.99593,3.34,0.44,13.1,white,7.9
6.3,0.777,0.31,5.47,0.064,4.2,105.8,0.99381,3.46,0.68,10.4,red,7.6
6.01,0.812,0.24,1.72,0.1132,44.5,12.2,0.99682,3.36,0.81,14.8,red,9.0
8.64,0.413,0.19,11.13,0.1249,20.7,61.0,0.9953,3.27,0.53,9.3,red,7.1
9.07,0.24,0.05,0.27,0.0301,20.4,23.3,1.00182,3.26,0.74,14.3,red,9.0
8.37,0.334,0.17,4.14,0.126,9.6,51.1,0.99727,3.4,0.69,12.8,red,9.0
8.02,0.45,0.06,2.56,0.0874,23.1,109.7,0.99442,3.11,0.55,12.7,red,8.8
11.41,0.103,0.37,2.17,0.0746,13.7,75.4,0.99634,3.23,0.65,14.1,red,9.0
8.55,0.444,0.46,3.23,0.0812,4.8,25.0,0.99852,2.98,0.48,13.8,red,9.0
9.67,0.494,0.41,4.59,0.1144,12.3,23.2,0.99932,3.37,0.81,10.6,red,8.1
8.54,0.297,0.34,4.97,0.0203,20.1,47.1,0.99638,3.41,0.48,13.0,white,9.0
6.43,0.343,0.11,0.48,0.0885,32.0,49.3,0.99676,3.19,0.56,8.7,red,8.1
9.23,0.49,0.31,0.55,0.1073,0.6,50.9,0.99813,3.15,0.81,11.4,red,8.7
7.19,0.594,0.42,0.04,0.1886,2.9,2.5,0.99513,3.45,0.57,14.5,red,8.5
8.15,0.37,0.16,0.35,0.0235,11.4,112.3,0.99769,3.2,0.5,10.2,white,8.4
8.82,0.583,0.29,0.77,0.1078,6.1,115.5,0.99757,3.41,0.69,8.7,red,7.4
5.0,0.555,0.24,3.19,0.0643,15.9,62.3,0.99807,3.31,0.97,12.2,red,9.0
5.56,0.538,0.59,1.61,0.1098,10.7,17.9,0.99692,3.23,0.86,10.7,red,9.0
9.85,0.413,0.43,3.55,0.1277,17.2,25.9,0.99387,3.4,0.76,10.9,red,8.4
7.17,0.29,0.39,1.67,0.0524,17.7,15.5,0.99746,3.31,0.83,12.2,red,8.8
7.25,0.835,0.06,2.03,0.1789,1.7,12.5,0.99525,3.53,0.75,12.4,red,8.1
8.58,0.643,0.3,0.29,0.1491,13.7,25.6,1.00045,3.2,0.7,11.2,red,8.5
7.64,0.711,0.24,3.75,0.124,7.5,60.4,1.00051,3.11,0.82,11.7,red,9.0
9.01,0.515,0.24,3.55,0.0702,27.9,50.7,0.99471,3.31,0.72,14.9,red,9.0
8.21,0.5,0.03,0.92,0.0609,8.8,96.6,0.99529,3.38,0.65,14.6,red,7.7
8.64,0.618,0.06,1.0,0.1077,10.7,3.6,0.99238,3.28,0.69,13.0,red,9.0
7.11,0.2,0.26,0.62,0.0685,6.4,17.5,0.99847,3.58,0.72,9.4,red,8.6
8.63,0.329,0.48,4.2,0.0624,15.6,19.3,0.99585,3.49,0.71,10.7,white,7.8
10.18,0.386,0.16,3.44,0.177,14.3,51.3,0.99754,3.23,0.72,14.1,red,9.0
7.33,0.448,0.19,2.35,0.1127,31.5,99.2,0.99592,3.32,0.49,11.2,red,8.1
9.86,0.372,0.61,0.68,0.1257,15.6,31.0,0.9938,3.04,0.62,14.6,red,9.0
8.21,0.59,0.21,0.47,0.1752,30.0,91.4,0.99742,3.47,0.44,11.6,red,8.2
9.55,0.545,0.25,0.13,0.0909,32.1,69.3,0.99958,3.21,0.7,14.0,white,8.8
8.52,0.781,0.25,0.12,0.0573,12.2,75.0,0.99694,3.34,0.72,8.6,red,9.0
8.24,0.975,0.01,0.52,0.0367,14.1,65.8,0.99495,3.27,0.88,11.2,white,8.7
8.89,0.303,0.38,0.26,0.1507,9.9,105.8,0.9967,3.09,0.71,13.0,red,9.0
10.36,0.557,0.15,2.03,0.0695,3.0,39.9,0.99803,3.44,0.6,14.0,white,9.0
8.7,0.556,0.26,1.11,0.0519,40.7,69.1,0.9966,3.15,0.59,12.4,red,9.0
9.11,0.527,0.35,1.47,0.0381,9.9,107.2,0.9948,3.23,0.77,9.5,red,7.8
7.67,0.335,0.64,2.25,0.0177,6.4,12.8,1.00104,3.44,0.54,14.2,red,9.0
10.97,0.365,0.02,2.69,0.0693,4.8,39.4,0.99397,3.16,0.69,12.1,red,9.0
9.39,0.573,0.43,2.61,0.0764,9.3,65.4,1.00155,3.53,0.82,9.1,red,8.1
8.43,0.36,0.44,0.76,0.1117,12.7,18.2,0.99681,3.16,1.0,11.4,white,8.7
8.09,0.559,0.15,4.15,0.0336,28.9,16.9,0.99879,3.13,0.86,12.9,red,9.0
9.96,0.486,0.38,6.24,0.0973,34.9,113.3,0.99743,3.32,0.57,11.3,red,9.0
7.27,0.555,0.58,0.95,0.1286,6.0,19.8,0.99524,3.56,0.53,14.1,red,9.0
5.27,0.358,0.12,0.04,0.0802,32.6,34.4,0.99966,3.31,0.77,11.2,red,9.0
8.42,0.558,0.32,5.74,0.0652,33.5,53.6,0.99823,3.46,0.62,12.2,white,8.7
10.32,0.371,0.35,6.43,0.0463,9.4,60.6,0.99681,3.11,0.41,9.8,red,8.2
11.01,0.559,0.37,0.13,0.1409,6.3,28.6,0.99846,3.26,1.1,11.7,red,9.0
8.12,0.771,0.42,0.01,0.0226,21.4,39.7,0.99673,3.26,0.69,9.8,red,8.5
8.37,0.577,0.3,4.24,0.1611,9.2,13.5,0.9926,3.12,0.87,9.9,white,8.5
9.18,0.588,0.37,0.9,0.0859,31.6,28.3,0.99358,3.07,0.6,10.2,red,9.0
7.85,0.677,0.1,6.15,0.0382,21.1,69.4,0.99696,3.27,0.65,8.7,red,6.9
9.18,0.277,0.3,0.61,0.1265,8.0,76.3,0.99636,3.55,0.69,9.5,red,9.0
8.15,0.839,0.18,4.94,0.1109,19.0,80.0,0.99682,3.34,0.61,11.2,red,8.8
10.02,0.34,0.04,0.18,0.1065,16.6,46.3,0.99632,3.21,0.53,9.3,white,7.2
9.53,0.688,0.17,0.75,0.1201,4.3,40.0,0.99476,3.0,1.03,9.3,red,7.8
9.68,0.664,0.32,9.04,0.0946,5.5,3.5,0.99423,3.25,0.72,14.7,red,9.0
7.95,0.368,0.35,0.66,0.1086,9.0,34.8,0.99531,3.24,0.39,11.2,red,9.0
11.57,0.712,0.03,0.36,0.151,19.9,52.2,0.99851,3.37,0.68,11.0,red,8.4
9.12,0.62,0.09,4.86,0.0965,21.8,82.3,0.99537,3.27,0.42,10.1,red,8.4
8.72,0.87,0.41,0.31,0.1255,28.6,17.1,0.99908,3.4,0.52,11.7,red,8.4
7.01,0.565,0.37,0.26,0.0164,8.5,35.4,0.99493,3.43,0.68,12.3,red,9.0
8.13,0.51,0.44,0.98,0.1022,0.3,28.0,0.99937,3.3,0.75,11.1,white,9.0
8.49,0.437,0.53,2.52,0.2056,7.0,6.3,0.99597,3.3,0.23,11.0,red,9.0
6.96,0.216,0.37,3.1,0.003,8.5,89.8,0.99638,3.32,0.95,13.0,red,9.0
7.8,0.473,0.19,5.33,0.181,7.5,3.7,0.9964,3.05,0.55,14.6,red,9.0
8.02,0.48,0.29,1.95,0.1209,15.7,50.1,0.99816,3.42,0.62,14.1,red,9.0
8.4,0.577,0.59,1.25,0.0072,23.2,80.3,0.9975,3.56,0.92,9.2,red,7.3
5.3,0.274,0.8,1.11,0.0889,11.6,31.1,0.99728,3.32,0.95,12.6,red,9.0
8.07,0.487,0.36,4.69,0.1059,21.2,6.2,0.99684,3.19,0.55,8.4,white,7.3
7.66,0.634,0.37,3.22,0.1298,26.1,50.4,0.99586,3.31,0.84,12.5,white,9.0
8.26,0.652,0.41,5.9,0.0665,15.8,97.8,0.99919,3.24,0.69,11.4,red,9.0
10.06,0.195,0.27,8.31,0.1197,4.0,79.2,0.99717,3.31,1.11,11.6,red,9.0
11.79,0.657,0.49,0.89,0.1521,13.0,38.3,0.99815,3.26,0.55,12.2,red,9.0
9.45,0.486,0.46,1.89,0.1287,26.6,28.2,0.9974,2.99,0.94,13.2,red,9.0
6.2,0.497,0.34,2.5,0.1431,22.5,84.5,0.99616,3.32,0.56,13.1,white,9.0
7.71,0.104,0.21,0.45,0.0661,4.7,1.6,1.00179,3.64,0.48,8.7,red,8.5
9.31,0.799,0.02,0.14,0.1192,28.3,77.3,0.99946,3.11,0.61,13.2,red,9.0
9.12,0.562,0.41,5.06,0.1951,12.4,29.0,0.99592,3.47,0.38,13.8,red,9.0
9.98,0.254,0.31,1.92,0.0362,4.6,2.4,1.00111,3.37,0.5,8.8,white,7.7
8.13,0.598,0.13,2.11,0.1068,15.6,11.6,0.99885,3.17,0.61,10.5,red,8.9
7.68,0.592,0.06,2.02,0.0346,0.1,100.3,0.99481,3.11,0.62,13.5,red,9.0
11.28,0.75,0.4,3.52,0.146,22.7,39.9,0.99876,3.35,0.82,11.6,red,8.6
8.4,0.474,0.03,0.39,0.0059,27.9,17.1,0.99783,3.36,0.8,12.9,red,9.0
6.57,0.532,0.33,2.38,0.0603,5.4,45.1,0.99733,3.08,0.65,11.7,white,7.7
10.81,0.414,0.43,1.58,0.1954,14.1,27.7,0.99903,3.45,0.36,14.8,red,9.0
5.76,0.638,0.37,5.68,0.0638,25.1,28.8,0.99768,3.24,0.3,14.5,red,8.8
2.36,0.389,0.2,1.83,0.0841,1.9,30.2,0.99298,3.38,0.57,10.2,red,9.0
9.61,0.369,0.03,7.16,0.1456,3.1,46.8,0.99429,3.42,0.52,10.9,red,8.4
9.85,0.518,0.38,1.09,0.0805,13.4,71.4,0.99529,3.44,0.56,11.2,red,9.0
9.0,0.309,0.5,8.52,0.0085,13.0,3.8,1.00099,3.16,0.94,9.1,red,7.4
6.09,0.818,0.16,5.2,0.0367,16.4,90.9,0.9983,3.61,0.56,11.0,white,9.0
8.2,0.877,0.37,2.19,0.149,14.8,15.4,0.99808,3.17,0.51,13.4,red,9.0
7.83,0.448,0.57,1.09,0.1562,1.9,54.9,0.99722,3.44,0.66,13.9,white,8.6
7.39,0.28,0.33,1.18,0.0073,1.1,44.6,0.99516,3.24,0.57,14.2,white,9.0
10.7,0.591,0.19,3.7,0.0424,2.1,20.0,0.99409,3.32,0.76,8.5,white,7.3
6.52,0.443,0.47,2.17,0.0554,21.2,83.9,0.99899,3.29,0.7,13.5,red,9.0
8.84,0.741,0.13,1.28,0.0691,25.9,20.4,1.00033,3.38,0.98,11.7,white,8.6
10.33,0.388,0.02,2.53,0.0433,15.0,93.2,0.99836,3.47,0.61,9.7,red,8.2
8.95,0.628,0.42,3.3,0.092,23.4,68.5,0.99602,3.22,0.99,11.6,red,8.3
10.41,0.551,0.19,0.06,0.0601,9.5,21.8,0.99618,3.18,0.78,13.9,white,8.7
9.26,0.408,0.21,0.24,0.0669,12.0,7.1,0.99839,3.0,0.75,11.2,red,9.0
9.03,0.573,0.15,0.25,0.0338,25.6,81.5,0.99677,3.34,0.32,14.8,red,9.0
8.92,0.688,0.18,0.66,0.1238,20.8,9.0,0.99669,3.28,0.3,12.4,white,8.1
9.34,0.546,0.54,1.39,0.0218,17.8,42.1,0.99592,3.33,0.39,11.6,red,9.0
7.64,0.548,0.59,4.07,0.1049,14.4,69.4,0.99567,3.29,0.7,10.3,white,7.8
6.09,0.373,0.61,1.08,0.1342,3.7,61.8,0.99676,3.42,0.79,8.5,white,8.9
9.92,0.736,0.48,0.04,0.1806,16.8,39.8,0.99383,3.23,0.75,12.4,red,8.8
10.27,0.718,0.36,1.65,0.1105,19.2,22.5,0.99824,3.36,0.67,12.2,red,8.2
8.73,0.456,0.0,14.23,0.0976,39.1,70.3,0.99327,3.31,0.81,11.8,red,8.3
7.37,0.508,0.23,1.07,0.0076,15.1,15.4,0.99913,3.17,0.86,11.9,red,9.0
5.65,0.785,0.68,8.13,0.1562,12.0,55.0,0.99594,3.21,0.61,13.9,red,8.1
8.45,0.326,0.19,0.27,0.0937,18.9,3.8,0.99676,3.45,0.75,10.5,red,8.8
6.01,0.639,0.56,0.48,0.1015,31.1,17.6,0.99812,3.43,0.73,12.0,red,7.4
5.77,0.429,0.28,3.22,0.1056,19.6,58.6,0.99642,3.42,0.8,12.8,red,8.7
8.26,0.85,0.24,1.74,0.0924,14.0,21.8,0.99552,3.28,0.72,9.8,red,7.0
7.0,0.541,0.39,3.62,0.0874,7.7,84.6,0.99757,2.97,0.7,14.4,red,7.8
8.89,0.757,0.51,4.98,0.0699,7.2,69.7,1.0014,3.06,0.56,13.2,red,8.6
8.03,0.393,0.26,0.72,0.1212,24.1,23.6,0.99858,3.27,0.69,8.7,red,7.9
7.27,0.305,0.5,2.87,0.0165,12.9,39.1,0.99548,3.08,0.6,14.0,red,8.9
5.4,0.488,0.05,2.34,0.0155,37.0,10.2,0.9963,3.48,0.48,14.4,white,9.0
6.85,0.577,0.01,4.94,0.0472,16.8,62.1,0.99605,3.19,0.71,13.6,red,9.0
6.91,0.438,0.31,1.41,0.1457,21.0,98.1,0.99494,3.27,0.49,11.2,red,7.2
6.22,0.666,0.36,0.13,0.1079,10.1,7.2,0.9982,3.57,0.65,14.9,white,9.0
7.74,0.492,0.53,2.13,0.0572,7.3,52.7,0.99635,3.46,0.6,9.2,red,8.6
6.35,0.155,0.39,7.98,0.0494,23.9,57.1,0.99764,3.36,0.56,11.9,red,9.0
8.02,0.63,0.04,0.04,0.0833,28.5,5.4,0.99177,3.34,0.9,9.5,red,8.6
8.71,0.371,0.31,0.69,0.1058,5.5,13.3,0.99838,3.2,0.94,11.3,white,9.0
6.9,0.465,0.38,0.95,0.151,8.2,13.0,0.99582,3.42,0.61,14.4,red,9.0
9.02,0.81,0.09,3.63,0.1835,9.0,65.0,0.99499,3.34,0.83,13.6,red,9.0
5.99,0.849,0.26,0.98,0.0811,23.0,34.7,0.99432,3.29,0.39,13.5,red,9.0
6.41,0.426,0.21,0.68,0.1905,19.7,22.6,0.99516,3.41,0.46,10.7,red,7.7
8.11,0.634,0.15,2.61,0.0907,14.9,114.4,0.99614,3.41,0.65,14.5,red,8.9
9.47,0.431,0.36,0.12,0.1012,7.7,12.8,0.99878,3.16,0.48,10.8,red,7.8
9.77,0.478,0.05,0.47,0.133,32.8,88.8,0.99611,3.45,0.72,8.7,red,9.0
11.04,0.421,0.35,1.31,0.1398,26.2,24.4,0.99897,3.3,0.71,12.5,white,9.0
7.66,0.22,0.38,1.1,0.161,5.1,29.4,0.99758,3.32,0.65,10.8,red,9.0
8.08,0.547,0.48,1.07,0.0266,24.9,9.4,1.00064,3.11,1.06,9.4,red,7.4
6.54,0.582,0.06,0.29,0.0927,12.9,19.5,0.996,3.12,0.72,14.5,white,9.0
6.17,0.409,0.02,1.12,0.146,9.6,28.7,0.99783,3.09,0.76,12.5,white,9.0
8.69,0.726,0.32,4.0,0.0368,23.9,23.1,0.9995,3.67,0.74,14.5,white,9.0
6.98,0.452,0.22,1.34,0.001,19.6,54.7,0.99826,3.65,0.51,12.2,red,9.0
10.4,0.415,0.82,2.21,0.0171,16.8,75.4,0.99666,3.05,0.99,8.8,red,9.0
5.81,0.625,0.36,0.45,0.0813,6.5,42.8,0.99602,3.08,0.42,8.6,white,8.5
9.13,0.252,0.28,0.18,0.182,26.6,57.1,0.99311,3.23,0.71,14.3,red,9.0
6.59,0.693,0.24,5.3,0.0161,2.9,97.9,0.99652,3.48,0.79,8.7,white,8.2
6.91,0.458,0.04,1.01,0.0322,24.0,23.5,0.99516,3.4,0.83,12.4,red,8.0
9.22,0.708,0.38,1.08,0.0633,16.8,76.2,0.99592,3.64,0.61,10.3,red,8.3
7.15,0.762,0.25,5.25,0.0403,15.5,129.6,0.9971,3.26,0.79,12.9,red,9.0
7.42,0.645,0.26,3.08,0.0318,10.1,106.2,0.99388,3.21,0.48,10.3,red,7.2
6.92,0.384,0.29,3.53,0.0088,17.6,100.1,0.99501,3.32,0.94,8.6,red,8.1
11.33,0.305,0.31,2.86,0.0622,1.5,70.5,0.99777,3.28,0.63,13.2,red,9.0
7.25,0.272,0.06,0.28,0.1791,28.9,84.4,0.99447,3.31,0.58,10.4,red,8.7
8.39,0.729,0.43,7.92,0.1131,11.7,30.6,0.99691,3.33,0.55,12.0,red,9.0
7.96,0.506,0.11,6.0,0.1423,8.7,43.8,0.9942,3.63,0.71,13.4,white,9.0
8.68,0.422,0.24,0.67,0.0586,13.8,40.0,0.99805,3.33,0.39,13.0,red,8.8
7.25,0.506,0.51,4.07,0.0474,12.0,24.7,0.99831,3.15,0.81,10.7,red,9.0
7.96,0.725,0.61,1.32,0.1115,29.0,51.3,0.99947,3.27,0.56,13.3,red,8.9
8.97,0.67,0.05,2.88,0.0909,2.3,29.2,0.99949,3.42,0.88,14.4,red,9.0
6.83,0.609,0.28,0.45,0.0844,15.1,48.5,0.99755,3.4,0.45,12.4,red,8.8
10.15,0.645,0.32,1.93,0.1658,32.5,1.1,0.99348,3.39,0.68,13.0,red,9.0
10.32,0.562,0.02,0.34,0.0492,16.6,28.9,0.997,3.06,0.75,14.0,red,9.0
9.33,0.584,0.42,1.92,0.0427,17.9,89.8,0.99792,3.08,0.77,13.9,white,9.0
8.42,0.57,0.29,0.7,0.127,15.6,52.9,0.99724,3.29,0.57,10.7,red,9.0
3.22,0.53,0.31,1.51,0.1207,9.1,90.4,1.00033,3.38,0.45,14.8,red,8.3
9.02,0.666,0.1,2.76,0.0379,21.6,26.6,0.9996,3.19,0.58,8.6,red,7.8
7.63,0.595,0.35,5.24,0.0907,13.9,38.3,0.99705,3.53,0.86,14.8,red,9.0
7.88,0.371,0.43,0.45,0.0027,17.4,53.6,0.99849,3.39,1.02,10.0,red,9.0
5.07,0.625,0.29,5.59,0.101,21.7,40.1,0.99407,3.23,0.38,11.3,red,7.4
9.14,0.575,0.17,1.24,0.065,20.5,0.6,0.99738,3.73,0.53,14.1,red,8.6
5.84,0.64,0.19,4.64,0.0754,16.9,65.1,0.99447,3.24,0.37,10.0,white,7.6
8.5,0.511,0.31,1.8,0.0334,25.3,14.1,0.99664,3.25,0.57,9.9,white,8.4
9.84,0.676,0.28,4.96,0.1432,26.5,46.2,0.99564,3.25,0.55,12.6,red,8.4
7.5,0.519,0.44,2.72,0.0993,24.1,23.6,0.9957,3.32,0.46,13.0,red,9.0
10.37,0.66,0.18,1.78,0.1337,27.0,25.2,0.99538,3.15,0.94,8.4,white,7.8
7.03,0.448,0.04,0.94,0.0821,30.1,42.3,0.9962,3.42,0.85,11.3,white,8.5
9.32,0.46,0.34,8.68,0.1429,3.2,65.0,0.99586,3.44,0.7,11.6,white,8.2
6.08,0.638,0.18,4.03,0.0008,44.9,5.9,0.99827,3.41,0.64,10.2,red,8.4
10.05,0.47,0.42,1.2,0.0873,17.5,17.2,0.99647,3.24,0.81,11.9,white,9.0
9.79,0.927,0.27,0.46,0.1432,13.3,104.5,0.99691,3.24,0.49,9.4,white,8.3
9.1,0.632,0.39,3.78,0.0061,17.7,111.2,0.99758,3.4,0.7,10.5,red,8.1
7.63,0.534,0.08,11.5,0.0931,0.4,63.4,0.99758,3.34,0.56,13.0,white,9.0
5.92,0.678,0.3,0.82,0.1141,18.4,88.6,0.99486,3.19,1.06,14.1,white,9.0
7.64,0.443,0.14,6.19,0.0689,7.6,33.5,0.99647,3.01,0.43,12.2,red,9.0
10.19,0.696,0.04,0.33,0.1337,16.7,68.0,0.99747,3.25,0.61,8.9,white,7.5
8.52,0.691,0.11,7.6,0.1342,17.4,66.3,0.99524,3.39,0.44,12.8,white,9.0
5.66,0.756,0.17,3.42,0.0579,9.7,15.5,0.99501,3.38,0.79,14.2,white,9.0
6.39,0.451,0.51,1.06,0.0688,3.0,53.0,0.99465,3.08,0.79,11.7,white,8.8
10.43,0.31,0.16,0.91,0.0324,18.8,36.8,0.9974,3.44,0.54,11.6,red,8.3
9.13,0.42,0.03,2.58,0.1019,15.9,58.6,0.99641,3.59,0.45,14.8,red,9.0
6.2,0.479,0.29,2.25,0.0965,17.9,28.9,0.9967,3.26,0.59,12.5,red,8.6
5.3,0.83,0.28,6.28,0.0871,11.5,1.4,0.99344,3.28,0.54,13.6,white,8.9
7.24,0.925,0.18,3.63,0.0917,9.0,47.1,0.99714,3.23,0.67,12.6,red,7.2
5.15,0.592,0.24,1.94,0.0467,13.6,73.8,0.99724,3.26,0.94,9.8,red,9.0
8.04,0.532,0.46,6.56,0.0198,17.4,73.8,0.99753,3.49,0.77,10.2,red,8.5
12.47,0.467,0.4,2.25,0.1079,23.0,11.9,0.99988,3.19,0.79,12.7,red,9.0
5.59,0.678,0.38,4.74,0.0777,7.4,52.5,0.99548,3.35,0.66,11.4,red,8.9
7.98,0.924,0.05,4.6,0.0385,24.2,69.2,0.99798,3.27,1.11,11.0,white,8.7
10.53,0.851,0.82,6.29,0.0529,22.8,51.0,0.99767,3.34,0.68,8.5,red,8.2
9.57,0.735,0.47,0.17,0.1302,21.4,74.9,0.99791,3.27,0.78,14.1,red,9.0
8.05,0.732,0.37,2.19,0.1275,35.1,0.1,0.99638,3.43,0.85,14.1,red,8.1
8.05,0.68,0.05,1.58,0.1182,2.6,8.8,0.99853,3.47,0.65,11.4,red,8.8
6.33,0.521,0.45,1.69,0.0851,36.4,65.9,0.99554,3.37,0.7,13.0,red,9.0
7.84,0.397,0.17,1.54,0.0549,9.0,35.0,0.99606,3.28,0.56,9.6,white,7.7
8.71,0.526,0.23,4.54,0.1491,18.4,85.1,0.99663,3.43,0.66,11.7,red,7.2
10.18,0.606,0.05,0.96,0.0718,16.4,56.6,0.99654,3.2,0.91,11.3,red,8.3
7.25,0.268,0.03,1.55,0.0997,1.8,17.0,0.99775,3.37,0.86,12.7,red,9.0
7.98,0.502,0.35,0.56,0.047,21.5,15.4,0.99752,3.23,0.78,11.5,white,8.0
6.69,0.381,0.46,0.72,0.0758,25.0,15.2,0.99754,3.34,0.81,11.6,red,9.0
8.68,0.712,0.4,2.7,0.0383,20.3,69.1,0.99964,3.17,0.65,10.3,red,8.6
9.63,0.431,0.39,0.31,0.0574,0.4,42.7,0.99658,3.49,0.82,8.7,red,7.5
9.37,0.589,0.26,0.52,0.0154,2.9,76.6,0.99911,3.12,0.63,14.4,red,9.0
6.31,0.404,0.19,1.88,0.0972,8.6,55.0,0.99487,3.29,0.38,8.5,red,8.4
8.55,0.818,0.32,0.11,0.059,29.3,50.3,0.99674,3.09,0.97,10.2,red,7.5
7.15,0.224,0.43,0.34,0.0728,16.9,73.3,0.99687,3.48,0.63,11.3,red,9.0
10.02,0.616,0.27,4.98,0.1871,5.1,43.3,0.99438,3.54,0.84,10.5,red,7.9
8.03,0.3,0.5,4.68,0.039,37.6,35.6,0.99709,3.13,0.6,12.0,red,8.8
5.72,0.438,0.23,1.07,0.0927,31.7,46.5,0.99723,3.36,0.2,11.4,white,8.6
7.93,0.567,0.08,1.07,0.0973,4.5,74.2,0.99819,3.27,0.65,10.1,white,9.0
9.08,0.576,0.27,6.89,0.0424,11.6,15.5,0.99796,3.39,0.35,9.0,red,7.8
8.71,0.571,0.29,0.07,0.1389,12.9,76.9,0.99445,3.55,0.79,9.3,red,8.6
7.43,0.557,0.25,2.17,0.1644,21.4,48.6,0.99939,3.37,0.62,11.6,red,9.0
7.31,0.414,0.51,2.27,0.1434,18.0,33.9,0.99608,3.2,0.87,13.9,red,9.0
6.62,0.5,0.42,3.88,0.0422,8.7,52.5,0.99579,3.21,0.7,9.1,red,7.7
7.63,0.536,0.0,7.58,0.054,29.7,85.2,0.99798,3.26,0.48,12.8,red,9.0
6.85,0.565,0.56,1.1,0.0083,34.2,85.0,0.9987,3.2,0.77,13.5,red,9.0
9.95,0.518,0.25,1.44,0.0785,15.4,59.4,0.99606,3.42,0.39,10.2,red,8.0
6.77,0.661,0.68,2.78,0.0818,9.9,67.1,0.99691,3.44,0.61,12.7,red,9.0
8.51,0.547,0.22,8.55,0.1236,32.6,47.9,0.99882,3.5,0.34,12.9,red,9.0
8.39,0.566,0.23,5.54,0.1699,7.1,27.3,0.99514,3.25,0.72,13.0,white,9.0
9.91,0.461,0.26,2.75,0.0278,6.5,61.1,0.9914,3.48,0.7,14.2,white,9.0
10.15,0.341,0.34,4.86,0.0935,26.2,31.7,0.99808,3.56,0.68,11.0,red,9.0
9.48,0.558,0.27,0.22,0.0764,30.5,12.7,0.99883,3.11,0.5,10.0,white,6.5
8.9,0.747,0.24,1.18,0.0799,12.5,32.6,0.99381,3.24,0.89,11.9,red,9.0
6.52,0.61,0.52,0.03,0.1605,39.8,7.5,0.99696,3.29,0.81,8.8,white,8.1
